isbn,Author,Category,Author_NY,Title_NY,author_gender
1596987855,KLEIN EDWARD,History/Law/Political Science,Edward Klein,AMATEUR,male
0451464400,BUTCHER JIM,Fantasy,Jim Butcher,COLD DAYS,male
1627795073,O&#39;REILLY BILL,History/Law/Political Science,David Fisher,BILL O&#39;REILLY&#39;S LEGENDS AND LIES,multi
0525427651,BERRY AMANDA,Biography/Autobiography/Memoir,Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan,HOPE,multi
030726999X,LARSSON STIEG,Suspense/Thrillers,Stieg Larsson,THE GIRL WHO KICKED THE HORNET&#39;S NEST,multi
0062320130,SILVA DANIEL,Suspense/Thrillers,Daniel Silva,THE ENGLISH SPY,male
1476726094,ROBERTSON PHIL,Biography/Autobiography/Memoir,Phil Robertson with Mark Schlabach,"HAPPY, HAPPY, HAPPY",male
0385344333,CHILD LEE,Suspense/Thrillers,Lee Child,A WANTED MAN,male
1605292885,SCHULTZ HOWARD,Business/Economics,Howard Schultz with Joanne Gordon,ONWARD,multi
1439177171,HALPERIN IAN,Biography/Autobiography/Memoir,Ian Halperin,UNMASKED,male
0525953493,COBEN HARLAN,Suspense/Thrillers,Harlan Coben,MISSING YOU,male
0385354282,LAGERCRANTZ DAVID,Suspense/Thrillers,David Lagercrantz,THE GIRL IN THE SPIDER&#39;S WEB,multi
1476770387,KING STEPHEN,Suspense/Thrillers,Stephen King,REVIVAL,male
0385532458,GRISHAM JOHN,Fiction General,John Grisham,FORD COUNTY,male
0399157786,ROBB J. D.,Mystery/Detective,J D Robb,NEW YORK TO DALLAS,unknown
044654695X,BALDACCI DAVID,Fiction General,David Baldacci,FIRST FAMILY,male
0316407054,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Mark Sullivan,PRIVATE PARIS,multi
1455520659,SPARKS NICHOLAS,Romance,Nicholas Sparks,THE LONGEST RIDE,male
110188696X,REMINI LEAH,Biography/Autobiography/Memoir,Leah Remini and Rebecca Paley,TROUBLEMAKER,multi
1400067669,MEACHAM JON,Biography/Autobiography/Memoir,Jon Meacham,THOMAS JEFFERSON,male
0312383304,EVANOVICH JANET,Mystery/Detective,Janet Evanovich,SIZZLING SIXTEEN,female
1416562850,LEVIN MARK R.,History/Law/Political Science,Mark R Levin,LIBERTY AND TYRANNY,male
1501100076,KING STEPHEN,Suspense/Thrillers,Stephen King,FINDERS KEEPERS,male
0399157042,CUSSLER CLIVE,Action/Adventure,Clive Cussler with Jack Du Brul,THE JUNGLE,multi
1451606303,LEVIN MARK R.,History/Law/Political Science,Mark R Levin,PLUNDER AND DECEIT,male
0765325950,JORDAN ROBERT,Fantasy,Robert Jordan and Brandon Sanderson,A MEMORY OF LIGHT,multi
1250061628,ARCHER JEFFREY,Suspense/Thrillers,Jeffrey Archer,COMETH THE HOUR,male
1401324258,ONASSIS JACQUELINE KENNEDY,Biography/Autobiography/Memoir,,Jacqueline Kennedy: Historic Conversations On Life With John F. Kennedy,multi
0765325942,JORDAN ROBERT,Fantasy,Robert Jordan and Brandon Sanderson,TOWERS OF MIDNIGHT,multi
034551176X,SIMMONS BILL,Health/Fitness/Medicine/Sports,Bill Simmons,THE BOOK OF BASKETBALL,male
039915597X,GRAFTON SUE,Mystery/Detective,Sue Grafton,U IS FOR UNDERTOW,female
0425229734,FEEHAN CHRISTINE,Fantasy,Christine Feehan,DARK SLAYER,female
052595158X,COBEN HARLAN,Mystery/Detective,Harlan Coben,CAUGHT,male
0525952586,GEORGE ELIZABETH,Mystery/Detective,Elizabeth George,BELIEVING THE LIE,female
0525951059,COBEN HARLAN,Mystery/Detective,Harlan Coben,LONG LOST,male
0425223434,FEEHAN CHRISTINE,Romance,Christine Feehan,DARK CURSE,female
0805095152,GAWANDE ATUL,Health/Fitness/Medicine/Sports,Atul Gawande,BEING MORTAL,male
038541305X,CONROY PAT,Fiction General,Pat Conroy,SOUTH OF BROAD,female
0451417054,WARD J. R.,Romance,J R Ward,THE KING,unknown
0385349173,KRAUTHAMMER CHARLES,History/Law/Political Science,Charles Krauthammer,THINGS THAT MATTER,male
0062294377,ALBOM MITCH,Religious Fiction,Mitch Albom,THE FIRST PHONE CALL FROM HEAVEN,male
0062082353,KYLE CHRIS,Biography/Autobiography/Memoir,Chris Kyle with Scott McEwen and Jim DeFelice,AMERICAN SNIPER,multi
0345539842,BROWN PIERCE,Science Fiction,Pierce Brown,MORNING STAR,male
0316097365,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Neil McMahon,TOYS,multi
0805093079,O&#39;REILLY BILL,History/Law/Political Science,Bill O&#39;Reilly and Martin Dugard,KILLING LINCOLN,multi
1439102767,PICOULT JODI,Horror/Occult/Psychological,Jodi Picoult,THE STORYTELLER,female
1416563067,BROWN SANDRA,Suspense/Thrillers,Sandra Brown,SMOKE SCREEN,female
0399154914,ROBERTS NORA,Romance,Nora Roberts,TRIBUTE,female
0061957933,HARRISON KIM,Fantasy,Kim Harrison,THE UNDEAD POOL,female
0446547565,SPARKS NICHOLAS,Fiction General,Nicholas Sparks,THE LAST SONG,male
0441018645,HARRIS CHARLAINE,Fantasy,Charlaine Harris,DEAD IN THE FAMILY,female
1416598065,CORSI JEROME R.,Biography/Autobiography/Memoir,Jerome R Corsi,THE OBAMA NATION,male
0316018775,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Maxine Paetro,SWIMSUIT,multi
0451462564,BUTCHER JIM,Fantasy,Jim Butcher,TURN COAT,male
0425227723,HAMILTON LAURELL K.,Horror/Occult/Psychological,Laurell K Hamilton,SKIN TRADE,female
1476783454,FLYNN VINCE,Fiction General,Vince Flynn and Kyle Mills,THE SURVIVOR,multi
0316410985,PATTERSON JAMES,Mystery/Detective,James Patterson and David Ellis,THE MURDER HOUSE,multi
0316206849,GALBRAITH ROBERT,Mystery/Detective,Robert Galbraith,THE CUCKOO&#39;S CALLING,multi
0385349947,SANDBERG SHERYL,Business/Economics,Sheryl Sandberg with Nell Scovell,LEAN IN,female
0316211044,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Michael Ledwidge,BURN,multi
0670025593,HARKNESS DEBORAH,Suspense/Thrillers,Deborah Harkness,THE BOOK OF LIFE,female
0805062904,ATKINSON RICK,History/Law/Political Science,Rick Atkinson,THE GUNS AT LAST LIGHT,male
0786868724,ALBOM MITCH,Religion/Bibles,Mitch Albom,HAVE A LITTLE FAITH,male
0316043001,MILLER JAMES ANDREW,Health/Fitness/Medicine/Sports,James Andrew Miller and Tom Shales,THOSE GUYS HAVE ALL THE FUN,multi
0441020011,BRIGGS PATRICIA,Fantasy,Patricia Briggs,FROST BURNED,female
0062009281,HAGAR SAMMY,Biography/Autobiography/Memoir,Sammy Hagar with Joel Selvin,RED,male
140006922X,ASLAN REZA,Biography/Autobiography/Memoir,Reza Aslan,ZEALOT,male
0399158987,GRAFTON SUE,Mystery/Detective,Sue Grafton,W IS FOR WASTED,female
0525953728,OWEN MARK,History/Law/Political Science,Mark Owen with Kevin Maurer,NO EASY DAY,multi
0743294386,REICHS KATHY,Suspense/Thrillers,Kathy Reichs,DEVIL BONES,female
0399157441,ROBERTS NORA,Romance,Nora Roberts,CHASING FIRE,female
1596981091,MALKIN MICHELE,History/Law/Political Science,Michelle Malkin,CULTURE OF CORRUPTION,female
0670015679,GROSSMAN LEV,Fantasy,Lev Grossman,THE MAGICIAN&#39;S LAND,male
0805098542,O&#39;REILLY BILL,Religion/Bibles,Bill O&#39;Reilly and Martin Dugard,KILLING JESUS,multi
0385352107,MURAKAMI HARUKI,Fiction General,Haruki Murakami,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE,multi
0061939897,PALIN SARAH,Biography/Autobiography/Memoir,Sarah Palin,GOING ROGUE,multi
081299325X,BROOKS DAVID,Nonfiction General,David Brooks,THE ROAD TO CHARACTER,male
0061474096,STEPHENSON NEAL,Fiction General,Neal Stephenson,ANATHEM,male
0316069418,CONNELLY MICHAEL,Suspense/Thrillers,Michael Connelly,THE DROP,male
0316211125,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Mark Sullivan,PRIVATE L.A.,multi
0316056863,FEY TINA,Biography/Autobiography/Memoir,Tina Fey,BOSSYPANTS,female
006177104X,MORRIS DICK,History/Law/Political Science,Dick Morris and Eileen McGann,CATASTROPHE,multi
0446407410,MYRON VICKI,Reference,Vicki Myron with Bret Witter,DEWEY,multi
0345495144,KELLERMAN JONATHAN,Suspense/Thrillers,Jonathan Kellerman,TRUE DETECTIVES,male
0385528043,GRISHAM JOHN,Suspense/Thrillers,John Grisham,THE CONFESSION,male
141659521X,FLYNN VINCE,Suspense/Thrillers,Vince Flynn,THE LAST MAN,male
1439184305,BECK GLENN,Fiction General,Glenn Beck,THE OVERTON WINDOW,male
0345528816,MACOMBER DEBBIE,Romance,Debbie Macomber,STARTING NOW,female
0307594882,SOTOMAYOR SONIA,Biography/Autobiography/Memoir,Sonia Sotomayor,MY BELOVED WORLD,female
0399156577,ROBERTS NORA,Romance,Nora Roberts,THE SEARCH,female
0525952063,COBEN HARLAN,Mystery/Detective,Harlan Coben,LIVE WIRE,male
0446580856,DEMILLE NELSON,Fiction General,Nelson DeMille,RADIANT ANGEL,male
0399155481,ROBB J. D.,Mystery/Detective,J D Robb,PROMISES IN DEATH,unknown
076793136X,EDWARDS ELIZABETH,Biography/Autobiography/Memoir,Elizabeth Edwards,RESILIENCE,female
1439148503,KING STEPHEN,Horror/Occult/Psychological,Stephen King,"UNDER THE DOME, PART 1",male
1501111671,KING STEPHEN,Suspense/Thrillers,Stephen King,THE BAZAAR OF BAD DREAMS,male
0307408868,LARSON ERIK,History/Law/Political Science,Erik Larson,DEAD WAKE,male
080509668X,O&#39;REILLY BILL,Biography/Autobiography/Memoir,Bill O&#39;Reilly and Martin Dugard,KILLING PATTON,multi
0399175954,CUSSLER CLIVE,Action/Adventure,Clive Cussler and Justin Scott,THE GANGSTER,multi
