ISBN,Title,FirstDate,LastDate
1501112317,"IN A DARK, DARK WOOD",8/30/2015,9/6/2015
1439170312,GYPPED,4/22/2012,Not Found
1400069629,DELICIOUS!,5/25/2014,6/8/2014
1451638698,SHADOW OF FREEDOM,3/24/2013,Not Found
1416533184,THE ALOHA QUILT,4/25/2010,Not Found
006123088X,SHADOW OF POWER,6/15/2008,6/29/2008
031607991X,THE BLINDING KNIFE,9/30/2012,10/7/2012
1451693591,THE MARRIAGE OF OPPOSITES,8/23/2015,9/13/2015
1400066409,SUPER SAD TRUE LOVE STORY,8/15/2010,8/29/2010
1250020042,LIVE TO SEE TOMORROW,5/18/2014,Not Found
1501110721,CLAWBACK,3/27/2016,4/3/2016
1250000971,THE SINS OF THE FATHER,5/27/2012,6/17/2012
039915681X,CROSSFIRE,9/5/2010,9/12/2010
1620408937,THE MIME ORDER,2/15/2015,Not Found
1476704643,LEAVING BERLIN,3/22/2015,4/19/2015
1594488398,THE INTERESTINGS,4/28/2013,5/26/2013
052595239X,DOWN THE DARKEST ROAD,1/15/2012,1/22/2012
1451694148,THE FIFTH GOSPEL,3/22/2015,5/10/2015
143917282X,FOUNDERS,10/14/2012,Not Found
1414336241,THE AUSCHWITZ ESCAPE,4/6/2014,4/27/2014
1451647050,FIFTEEN MINUTES,11/17/2013,Not Found
1400065453,THE THOUSAND AUTUMNS OF JACOB DE ZOET,7/18/2010,8/15/2010
042527733X,DARK GHOST,9/20/2015,Not Found
1594488878,"JULIET, NAKED",10/18/2009,10/25/2009
1501110993,DEATH WEARS A BEAUTY MASK AND OTHER STORIES,5/17/2015,5/31/2015
1594488584,THE LONG FALL,4/12/2009,4/19/2009
147674923X,WINDIGO ISLAND,9/7/2014,Not Found
1451645678,TRICKSTER&#39;S POINT,9/9/2012,Not Found
159474713X,WILLIAM SHAKESPEARE&#39;S THE JEDI DOTH RETURN,7/20/2014,Not Found
1439140219,TATIANA,12/1/2013,Not Found
147671777X,INSIDE THE O&#39;BRIENS,4/26/2015,5/10/2015
1400063973,THE 19TH WIFE,8/31/2008,9/7/2008
1439150001,THE CHRISTMAS LIST,10/25/2009,Not Found
1250027705,BETRAYED,12/14/2014,Not Found
1594747156,WILLIAM SHAKESPEARE&#39;S THE EMPIRE STRIKETH BACK,4/6/2014,5/18/2014
1400068312,SISTERLAND,7/14/2013,7/28/2013
1416591478,STORM FROM THE SHADOWS,3/22/2009,3/29/2009
1414318634,HER MOTHER&#39;S HOPE,4/4/2010,4/11/2010
052595242X,THE WEDDING QUILT,11/20/2011,Not Found
1414368186,BRIDGE TO HAVEN,5/11/2014,5/18/2014
1414334095,HER DAUGHTER&#39;S DREAM,10/3/2010,10/10/2010
1451628684,DEADLY STAKES,2/24/2013,Not Found
045146415X,THE TEARS OF THE SUN,9/25/2011,Not Found
1101947411,A FEW OF THE GIRLS,3/20/2016,4/10/2016
031261456X,BURN,8/22/2010,Not Found
034552554X,THE LANGUAGE OF FLOWERS,9/11/2011,10/9/2011
1401324827,DRIVING HEAT,10/4/2015,Not Found
1455517151,SOLITUDE CREEK,5/31/2015,Not Found
1439133611,MISSION OF HONOR,7/11/2010,Not Found
1400069262,BEATRICE AND VIRGIL,5/2/2010,5/9/2010
1250052017,"THE FALL OF THE GOVERNOR, PART 2",3/23/2014,Not Found
034550898X,THE CLONE WARS,8/17/2008,8/31/2008
1451617054,FALL FROM GRACE,4/8/2012,Not Found
1476798842,THE IMMORTAL NICHOLAS,11/15/2015,12/27/2015
1416550763,JAINA PROUDMOORE: TIDES OF WAR,9/16/2012,Not Found
1250036135,THE CAIRO AFFAIR,4/6/2014,Not Found
1594632022,LAST BUS TO WISDOM,9/6/2015,Not Found
1400043530,ANGEL TIME,11/15/2009,Not Found
1416550747,JAINA PROUDMOORE: TIDES OF WAR,11/14/2010,Not Found
140006709X,NIGHTWOODS,10/16/2011,11/6/2011
1416595619,THE BODIES LEFT BEHIND,11/30/2008,12/7/2008
1400069599,TRANSATLANTIC,6/23/2013,7/14/2013
1250029910,SON OF NO ONE,9/21/2014,Not Found
1401323138,DEATH ON THE D-LIST,8/29/2010,Not Found
1250050936,CONFESSIONS OF A WILD CHILD,2/23/2014,Not Found
1439156417,ISTANBUL PASSAGE,6/17/2012,6/24/2012
006229721X,THE MONOGRAM MURDERS,9/28/2014,10/12/2014
1250019990,HUNTING EVE,8/4/2013,Not Found
1476745048,COLD BETRAYAL,3/29/2015,Not Found
1400068932,MAJOR PETTIGREW&#39;S LAST STAND,3/28/2010,4/18/2010
1416597883,ONCE A RUNNER,4/26/2009,Not Found
038553521X,"LOVE, DISHONOR, MARRY, DIE, CHERISH, PERISH",8/4/2013,8/11/2013
1451687508,CHASING SUNSETS,4/26/2015,Not Found
1439187037,A SUDDEN LIGHT,10/19/2014,Not Found
1439138338,NORA WEBSTER,10/26/2014,11/2/2014
1414336276,THE THIRD TARGET,1/25/2015,2/1/2015
1451672721,GOLD,7/22/2012,Not Found
039915812X,NIGHT MOVES,3/24/2013,4/7/2013
1400065119,HOME SAFE,5/17/2009,5/24/2009
1439156352,EDGE,11/21/2010,Not Found
031632468X,FROG MUSIC,4/20/2014,5/4/2014
1101874996,THE CARTEL,7/12/2015,8/9/2015
1439138656,DEAD ZERO,1/16/2011,1/23/2011
1455576646,THE OCTOBER LIST,10/20/2013,Not Found
1400043131,ALL THAT IS,4/21/2013,Not Found
006124340X,TEMPTATION AND SURRENDER,3/15/2009,Not Found
1416565159,"I, SNIPER",1/17/2010,2/21/2010
1599951967,THE BRIDE COLLECTOR,5/2/2010,Not Found
1451693567,THE MUSEUM OF EXTRAORDINARY THINGS,3/9/2014,3/23/2014
1250045428,ALL THE OLD KNIVES,3/29/2015,Not Found
1439165351,MIDNIGHT AND THE MEANING OF LOVE,5/1/2011,Not Found
1594204799,BLUE HORSES,11/2/2014,Not Found
1616203048,DESCENT,2/22/2015,Not Found
1439107971,SCARLET NIGHTS,8/22/2010,Not Found
1627792104,THE ASSASSINATION OF MARGARET THATCHER,10/26/2014,Not Found
1616203218,THE STORIED LIFE OF A. J. FIKRY,5/4/2014,5/18/2014
039915809X,A DEVIL IS WAITING,1/22/2012,Not Found
031236847X,SWEETHEART,9/21/2008,9/28/2008
1476793743,PALACE OF TREASON,6/21/2015,Not Found
1439158908,MAMA DEAREST,10/11/2009,Not Found
1439156379,XO,7/1/2012,Not Found
006229766X,DANCE OF THE BONES,9/27/2015,Not Found
145166737X,SKINNYDIPPING,5/20/2012,Not Found
1250007038,SWEET SALT AIR,7/7/2013,Not Found
031258749X,THE LAST SURGEON,3/7/2010,3/14/2010
039915678X,AGAINST ALL THINGS ENDING,11/7/2010,Not Found
1455599492,YOU SHOULD HAVE KNOWN,4/6/2014,Not Found
1476709157,THE OPHELIA CUT,5/26/2013,Not Found
1416550771,ARTHAS,5/10/2009,Not Found
1476709181,THE KEEPER,5/25/2014,Not Found
042527067X,MAGIC SHIFTS,8/23/2015,Not Found
1250020107,SHADOW PLAY,10/18/2015,Not Found
1250032350,CAVENDON HALL,4/20/2014,Not Found
076538308X,WARHEART,12/6/2015,Not Found
052595256X,THE HUNTER,1/22/2012,Not Found
193636574X,A HOLOGRAM FOR THE KING,7/8/2012,8/12/2012
1451665164,A FISTFUL OF COLLARS,9/30/2012,Not Found
1451645759,TAMARACK COUNTY,9/8/2013,Not Found
1451649916,MACRIEVE,7/21/2013,Not Found
1439152780,THE DISTANT HOURS,11/28/2010,12/5/2010
1476724024,VERTIGO 42,6/22/2014,Not Found
067002645X,A SERPENT&#39;S TOOTH,6/23/2013,Not Found
045146527X,VISION IN SILVER,3/22/2015,Not Found
1439107947,DAYS OF GOLD,1/17/2010,Not Found
1250020085,YOUR NEXT BREATH,5/17/2015,Not Found
1250027934,CORRUPTED,11/15/2015,Not Found
1416593403,THE SPELLMANS STRIKE AGAIN,4/4/2010,Not Found
006222543X,RECONSTRUCTING AMELIA,4/21/2013,4/28/2013
1455547387,SOMERSET,2/23/2014,3/2/2014
1451638450,CAPTAIN VORPATRIL&#39;S ALLIANCE,11/25/2012,Not Found
1439159661,DEEP KISS OF WINTER,11/1/2009,Not Found
1594487510,IMPERFECT BIRDS,4/25/2010,5/2/2010
1400066026,THE SPIES OF WARSAW,6/22/2008,7/6/2008
1476767319,THE ROSIE EFFECT,1/18/2015,Not Found
1400067243,LUCKY US,8/17/2014,8/24/2014
1476706123,RED SPARROW,6/23/2013,Not Found
1594202176,THE SELECTED WORKS OF T.S. SPIVET,5/31/2009,Not Found
1401324908,STORM FRONT,6/9/2013,Not Found
