United States,214
England,175
Great Britain,68
Japan,62
France,58
London,44
Italy,41
California,40
New York,37
London (England),31
New York (N.Y.),28
Russia,25
New York (State),25
Paris,25
China,23
Maine,22
Germany,21
Rome,20
India,20
Los Angeles,19
Paris (France),18
Los Angeles (Calif.),18
Canada,16
Europe,16
Massachusetts,15
New York City,13
Ireland,13
Mexico,13
Soviet Union,13
Hogwarts School of Witchcraft and Wizardry,13
Southern States,13
Earth,12
Spain,12
New England,12
Africa,11
États-Unis,11
Greece,10
America,10
Mississippi,10
Chicago,9
Privet Drive,9
Boston,9
Boston (Mass.),9
Florida,8
Switzerland,8
Scotland,8
Manhattan,8
"Hollywood (Los Angeles, Calif.)",8
San Francisco,8
Nebraska,8
Washington (D.C.),8
Australia,8
Estados Unidos,7
Asia,7
Colombia,7
Vatican,7
Cuba,7
North Carolina,7
Austria,7
"Manhattan (New York, N.Y.)",7
Inglaterra,7
Dublin (Ireland),7
USA,7
Texas,7
New Orleans,7
Latin America,6
New Jersey,6
Britain,6
Mississippi River,6
Middle East,6
Missouri,6
Virginia,6
Ohio,6
Poland,6
Norway,6
Middle Earth,6
Iran,6
Israel,6
Louisiana,6
Shropshire (England),6
Sweden,6
South Africa,5
Harvard University,5
Argentina,5
Turkey,5
Foreign countries,5
Minnesota,5
Nevada,5
Michigan,5
Bombay,5
Middle Earth (Imaginary place),5
Tierra Media,5
Chile,5
New Hampshire,5
Italia,5
Egypt,5
Wisconsin,5
Derry,5
Castle Rock,5
Belgium,5
Gondor,5
Algeria,5
New Orleans (La.),5
Vatican City,4
London (UK),4
Musée du Louvre,4
Depository Bank of Zurich,4
Opus Dei Center,4
Rosslyn Chapel,4
La Pyramide Inversée,4
Westminster Abbey,4
Arctic regions,4
Tokyo,4
Bastille Prison,4
Oxford,4
Pacific Ocean,4
South America,4
Las Vegas,4
Illinois,4
Congo (Democratic Republic),4
Western Sea,4
Colorado,4
Netherlands,4
Caribbean Area,4
Angleterre,4
Denmark,4
Botswana,4
Mordor,4
Isengard,4
Nigeria,4
Gilead,4
Pennsylvania,4
4 Privet Drive,4
Diagon Alley,4
Leaky Cauldron,4
Gringotts Wizarding Bank,4
Forbidden Forest,4
King's Cross Station,4
Platform Nine and Three-quarters,4
Jerusalem,4
Verona (Italy),4
Verona,4
Wessex (England),4
Azkaban,4
Hogwarts School of Witchcraft and Wizardry (Imaginary place),4
Miami,3
Miami (Fla.),3
History,3
Hawaii,3
Chicago (Ill.),3
Vaticano,3
CERN,3
Castel Sant'Angelo,3
St. Peter's Square,3
Tiber River,3
College of Cardinals,3
Regiones árticas,3
Milne Ice Shelf,3
España,3
Athens (Greece),3
Kansas,3
Nantucket Island,3
Canterbury,3
Canterbury (England),3
Washington (State),3
English-speaking countries,3
West (U.S.),3
Yorkshire (England),3
Florence (Italy),3
Vienna (Austria),3
End-World,3
Topeka,3
Northern California,3
Boulder,3
Hapscomb's Texaco,3
US 93,3
Arnette,3
Houston,3
Hemingford Home,3
Free Zone,3
Jerusalem's Lot,3
Londres (Inglaterra),3
Middle-earth,3
Rivendell,3
Oxford (England),3
Dartmoor (England),3
Russia (Federation),3
Indiana,3
Everest,3
University of Maine,3
Ludlow,3
The Territories,3
In-World,3
The Dark Tower,3
the desert,3
Tull,3
the way station,3
Vietnam,3
Morocco,3
Irlanda,3
Cornwall (England : County),3
Wonderland,3
Bree,3
Minas Tirith,3
Rohan,3
Edoras,3
Mount Doom,3
Ithilien,3
Vancouver,3
Hogwarts Schools of Witchcraft and Wizardry,3
Grimmauld Place,3
Hell,3
Normandy,3
Raleigh,3
Moscow,3
Brooklyn,3
Arkansas,3
Mississippi River Valley,3
Misuri,3
Misisipí (Río),3
Río Misisipi,3
French Quarter,3
Georgia,3
South Asia,3
Cape Cod (Mass.),3
Galaxy,2
Heart of Gold,2
Magrathea,2
The Restaurant at the End of the Universe,2
Amérique latine,2
Kentucky,2
Iceland,2
Everglades (Fla.),2
Washington D.C.,2
Naples,2
Athens,2
Buenos Aires (Argentina),2
Troy (Extinct city),2
Brighton,2
Derbyshire,2
Hertfordshire,2
Meryton,2
Longbourn,2
Netherfield,2
Pemberley,2
San Marino,2
Atlantic Ocean,2
Survival,2
Afghanistan,2
Kabul (Afganistán),2
Kabul (Afghanistan),2
Kābol (Afghanistan),2
América Latina,2
Gaul,2
Prince Edward Island,2
Bohemia,2
Boscombe Valley,2
"Wall Street (New York, N.Y.)",2
Wall Street,2
Las Vegas (Nev.),2
Dallas (Tex.),2
Sub-Saharan Africa,2
Illinois (United States),2
Chattanooga,2
Tennessee (United States),2
Minnesota (United States),2
Wisconsin (United States),2
Rock City,2
Congo River,2
Dark Tower,2
Mid-world,2
Londres,2
Haiti,2
Mumbai,2
Himalays,2
Dubai,2
Family Planning Centre,2
Connecticut,2
U.S.A.,2
Marsten House,2
Airstrip One,2
Oceania,2
Eastasia,2
Ministry of Truth,2
Ministry of Love,2
Ministry of Plenty,2
Ministry of Peace,2
Room 101,2
Eurasia,2
Records Department,2
Tierra Media (Lugar imaginario),2
Lonely Mountain,2
Lake-town,2
Iron Hills,2
Misty Mountains,2
Mirkwood,2
Hogwarts School of Witchcraft and Wizardry (Imaginary organization),2
Wales,2
Atenas (Grecia),2
Kyoto (Japan),2
Fangorn Forest,2
West Virginia,2
Dublin,2
Mexican-American Border Region,2
Zululand,2
Mozambique,2
Cape Town,2
Isaac & Ishmael's,2
Calif.) Hollywood (Los Angeles,2
Arabian Sea,2
Brickhall,2
Yathrib,2
Spring of Zamzam,2
Alabama,2
Tamarack,2
Coulee County,2
Vermont,2
San Francisco (Calif.),2
"Brooklyn (New York, N.Y.)",2
N.Y.) Brooklyn (New York,2
"Castle Rock, Maine (Imaginary place)",2
Castle Rock (Me. : Imaginary place),2
Bangor,2
Istanbul (Turkey),2
Istanbul,2
México,2
North Africa,2
Iraq,2
EE.UU,2
Chamberlain,2
New Southwest,2
Messina,2
Peru,2
Yorkshire,2
Amsterdam,2
River Anduin,2
Fangorn Forrest,2
Moria,2
Helm's Deep,2
Dead Marshes,2
Galapagos Islands,2
North America,2
Antarctica,2
Rodanthe (N.C.),2
Carolina del Norte,2
Trenton,2
Calcutta,2
Amérique,2
Patriarch's Ponds,2
Griboyedov's house,2
Long Island (N.Y.),2
Atlanta (Ga.),2
Roma,2
Tibet,2
Bosnia and Hercegovina,2
Maryland,2
Sicily,2
Tel Aviv,2
Lithuania,2
Ukraine,2
Kibbutz Hulda,2
Zuckerman's Farm,2
Queensborough Bridge,2
Atlanta,2
Savannah (Ga.),2
Savannah,2
Québec (Province),2
Brussels (Belgium),2
Dorset,2
Dorset (England),2
Wessex (England,2
North Pole,2
Wyoming,2
Havana,2
Thebes (Greece),2
Theatre des Vampires,2
St. Louis,2
Seattle (Wash.),2
Alaska,2
Carthage,2
Baskerville Hall,2
Dartmoor,2
Iowa,2
Luisiana,2
Sonoma,2
Eden,2
Night Island,2
Kemet,2
Andalusia (Spain),2
Andalusia,2
Lebanon,1
The Roman Empire,1
Mayan Civilization,1
Chacoan Civilization,1
Colorado Springs,1
United States: Long Ailend,1
Pearl Harbor,1
Louisville,1
Newark,1
Ficción,1
American South,1
American Midwest,1
Future America,1
Pompei (Extinct city),1
Southern Appalachian Region,1
Romainia,1
Poetry,1
Santiago de Compostela,1
Theatre of Dionysus,1
Dogs,1
Constanța,1
Romania,1
Ilium,1
Sisters,1
Holcomb,1
Oxford (N.C.),1
San Piedro,1
Washington,1
Puget Sound,1
Tarawa,1
Horace Whaley,1
Ole Jurgensen,1
Manzanar,1
Point White lighthouse station,1
Daly City,1
Florence,1
South Dakota,1
East Coast,1
Cephalonia Island,1
Cephalonia Island (Greece),1
Rome (Italie),1
Northern Africa,1
Turin (Italy),1
Barcelona,1
El Cementerio de los Libros Olvidados,1
Moon,1
Amherst (Mass.),1
Amherst,1
Long Island,1
East Egg,1
West Egg,1
Monterey (Calif.),1
"Cannery Row (Monterey, Calif.)",1
"California, Gulf of (Mexico)",1
Gulf of (Mexico) California,1
Gulf of California,1
Salinas River Valley (Calif.),1
Thames River (England),1
Black Forest (Germany),1
Thames River,1
Sundarbans (Bangladesh and India),1
Sudan,1
Mid-World,1
Calla Bryn Sturgis,1
Thunderclap,1
'Salem's Lot,1
Second Avenue,1
Forty-Sixth Street,1
Dogan,1
Way Station,1
Doorway Cave,1
Lud,1
Out-World,1
Dutch Hill,1
River Crossing,1
George Washington Bridge,1
Salinas River Valley,1
"Salinas, Valle del Río (California)",1
Salinas,1
Stanford University,1
Southeast Asia,1
